C:\Users\PMLS\Videos\simulator-windows-64\IMG\center_2025_04_19_11_30_09_685.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\left_2025_04_19_11_30_09_685.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\right_2025_04_19_11_30_09_685.jpg, 0, 0, 0, 7.863987E-05
C:\Users\PMLS\Videos\simulator-windows-64\IMG\center_2025_04_19_11_30_09_801.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\left_2025_04_19_11_30_09_801.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\right_2025_04_19_11_30_09_801.jpg, 0, 0, 0, 7.882161E-05
C:\Users\PMLS\Videos\simulator-windows-64\IMG\center_2025_04_19_11_30_09_917.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\left_2025_04_19_11_30_09_917.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\right_2025_04_19_11_30_09_917.jpg, 0, 0, 0, 7.845338E-05
C:\Users\PMLS\Videos\simulator-windows-64\IMG\center_2025_04_19_11_30_10_025.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\left_2025_04_19_11_30_10_025.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\right_2025_04_19_11_30_10_025.jpg, 0, 0, 0, 7.771242E-05
C:\Users\PMLS\Videos\simulator-windows-64\IMG\center_2025_04_19_11_30_10_135.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\left_2025_04_19_11_30_10_135.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\right_2025_04_19_11_30_10_135.jpg, 0, 0.3264912, 0, 0.2716135
C:\Users\PMLS\Videos\simulator-windows-64\IMG\center_2025_04_19_11_30_10_252.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\left_2025_04_19_11_30_10_252.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\right_2025_04_19_11_30_10_252.jpg, -0.3397497, 0.6662409, 0, 1.17494
C:\Users\PMLS\Videos\simulator-windows-64\IMG\center_2025_04_19_11_30_10_349.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\left_2025_04_19_11_30_10_349.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\right_2025_04_19_11_30_10_349.jpg, -0.6402354, 0.9667266, 0, 2.163495
C:\Users\PMLS\Videos\simulator-windows-64\IMG\center_2025_04_19_11_30_10_452.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\left_2025_04_19_11_30_10_452.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\right_2025_04_19_11_30_10_452.jpg, -0.9582264, 1, 0, 3.288519
C:\Users\PMLS\Videos\simulator-windows-64\IMG\center_2025_04_19_11_30_10_558.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\left_2025_04_19_11_30_10_558.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\right_2025_04_19_11_30_10_558.jpg, -0.6411811, 1, 0, 4.458448
C:\Users\PMLS\Videos\simulator-windows-64\IMG\center_2025_04_19_11_30_10_670.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\left_2025_04_19_11_30_10_670.jpg, C:\Users\PMLS\Videos\simulator-windows-64\IMG\right_2025_04_19_11_30_10_670.jpg, -0.3067407, 1, 0, 5.854063
